,airline_sentiment,name,text,tweet_created,tweet_location,user_timezone,hashtags,tags
2879,negative,DuncanKneeDeep,united splitting flights quadruples price,20/02/15 11:13,The Gaming Cartel,Amsterdam,[],['united']
2880,negative,bugstory,united contd told asking refund used ticket flight got cancelled flightled ticket used,20/02/15 11:13,"Baltimore, MD",Eastern Time (US & Canada),[],['united']
2881,negative,bugstory,united several trials several hours waiting phone contact customer care get refund get cold shoulder,20/02/15 11:12,"Baltimore, MD",Eastern Time (US & Canada),[],['united']
2882,negative,PFcurator,united booked paid flight get denver specific time meeting failed wasnt caused weather,20/02/15 11:05,,,[],['united']
2883,positive,MarthaH65165635,united since get good 4 transcontinental flights 72h pleasurerelief,20/02/15 11:05,,,[],['united']
2884,negative,PFcurator,united dont understand isnt flight paid premium getting cancelled flighted best next available flight,20/02/15 11:04,,,[],['united']
2885,negative,PamelaBacorn,united flight awful one lavatory functioning people lining bumping etc cant use 1st class bathroom ridiculous,20/02/15 11:02,Santa Barbara CA,Pacific Time (US & Canada),[],['united']
2886,neutral,rkjohnson2,united current board food menus available anywhere online,20/02/15 11:00,,,[],['united']
2887,neutral,VidFall,united airlines changing mileageplus program winners losers,20/02/15 11:00,USA,Eastern Time (US & Canada),[],['united']
2888,negative,geoff_lane,united actually arent still parked,20/02/15 10:58,D.C.,Eastern Time (US & Canada),[],['united']
2889,neutral,ant_kneee,put sun carry rt united ant_kneee right 0 would heat wave enjoy warmth bring home jj,20/02/15 10:55,Chicago & Worldwide,Central Time (US & Canada),[],['ant_kneee']
2890,positive,rockstarbrands,united thanks,20/02/15 10:52,YHZ,Atlantic Time (Canada),[],['united']
2891,positive,Easy_E_,united thanks prompt response another hour enjoy vacation perhaps bug app still shows 255,20/02/15 10:51,Tri State NY area...,Eastern Time (US & Canada),[],['united']
2892,negative,DuncanKneeDeep,united apply one travel certificate per itinerary even multiple flights,20/02/15 10:48,The Gaming Cartel,Amsterdam,[],['united']
2893,positive,alinosa,united appreciate sentiment able get groundstill missed connection,20/02/15 10:46,South Texas,Central Time (US & Canada),[],['united']
2894,negative,paul_chard63,united log view reservations try view specific reservation takes back login page,20/02/15 10:46,"Celebration, FL ",Eastern Time (US & Canada),[],['united']
2895,neutral,paul_chard63,united goes round round going weeks,20/02/15 10:40,"Celebration, FL ",Eastern Time (US & Canada),[],['united']
2896,positive,datachick,thank united prompt assistance,20/02/15 10:39,"Toronto, ON",Eastern Time (US & Canada),[],['united']
2897,negative,iamawarplane,united 3 times flight delayed miss next flight time youve lost baggage clean clothes 337 flight thx,20/02/15 10:36,"Austin, Texas",,[],['united']
2898,neutral,dlm_3,united looked email chain one,20/02/15 10:36,Global,Eastern Time (US & Canada),[],['united']
2899,negative,mikebrandes,united hell miles expire really looking forward accruing enough free flight 10 years,20/02/15 10:32,"Minneapolis, MN",Eastern Time (US & Canada),[],['united']
2900,positive,SoyCoder,united thanks timely updates,20/02/15 10:20,,Central Time (US & Canada),[],['united']
2901,neutral,BananaPants06,united also want naming rights first child fly home visit mother avoid winter depression,20/02/15 10:18,Chicago,Central Time (US & Canada),[],['united']
2902,negative,Eileen429,united im familiar procedure wouldnt first time unitedairlines lost one bags unhappytraveler,20/02/15 10:16,"Red Bank, NJ",Central Time (US & Canada),"['unitedairlines', 'unhappytraveler']",['united']
2903,negative,VitalMX,united get giving inaccuratemisleading info doesnt seem like great way hopethegearmakesitintact,20/02/15 10:16,,Pacific Time (US & Canada),['hopethegearmakesitintact'],['united']
2904,negative,geoff_lane,united cleaning regional jet takes hour,20/02/15 10:13,D.C.,Eastern Time (US & Canada),[],['united']
2905,positive,lcadler,united baggage check flight crew friendliest ever flight417 ogg lax,20/02/15 10:11,,Pacific Time (US & Canada),[],['united']
2906,neutral,ssegraves,united thanks means 30 minutes make international connection hkg,20/02/15 10:10,PDX / LGA / TXL / ✈,Central Time (US & Canada),[],['united']
2907,neutral,dizbaa1,united jedediahbila kp traveling trying cheer ms bila,20/02/15 10:09,,Eastern Time (US & Canada),[],"['united', 'jedediahbila']"
2908,negative,BananaPants06,united tried charge 750 539 flight tried make change phone including 200 change fee wtf,20/02/15 10:09,Chicago,Central Time (US & Canada),[],['united']
2909,positive,mom23185,united thank offer sorted,20/02/15 10:09,,,[],['united']
2910,neutral,ScribblersNook,united workin waiting reply,20/02/15 10:09,"Atlanta, GA",Eastern Time (US & Canada),[],['united']
2911,negative,ssegraves,united flight 395 rolling delay 1 hour 42 minutes,20/02/15 10:03,PDX / LGA / TXL / ✈,Central Time (US & Canada),[],['united']
2912,negative,ScribblersNook,united believe customer service last post narita tokyo sent motel rest said standby maybe 2days,20/02/15 10:01,"Atlanta, GA",Eastern Time (US & Canada),[],['united']
2913,positive,Mammothchowder,united think best first class ever gotten denver lax wonderful,20/02/15 10:01,Mammoth Lakes ,,[],['united']
2914,positive,traceyleffler,united course inflight crew great,20/02/15 10:00,"Boston, MA",Eastern Time (US & Canada),[],['united']
2915,positive,DanSeldow,united well played lo,20/02/15 10:00,New Jersey,Eastern Time (US & Canada),[],['united']
2916,positive,Westonworld,united pilot ua475 landed plane like gently placing us pile whipped cream smoothest landing ever,20/02/15 9:59,,,[],['united']
2917,negative,paul_chard63,united website complete joke using safari,20/02/15 9:58,"Celebration, FL ",Eastern Time (US & Canada),[],['united']
2918,negative,Mortars254,united new seats canadaair regional jets plain suck,20/02/15 9:57,The Commonwealth of Virginia,Quito,[],['united']
2919,neutral,LifeofPL,united im another country please cancelled flight reservation ive booked swiss air,20/02/15 9:57,,,[],['united']
2920,negative,mrphoto,united airlines abuse expensive video equipment overcharge privilege via robthecameraman,20/02/15 9:56,"Chew Valley, North Somerset UK",London,[],"['united', 'robthecameraman']"
2921,neutral,pacers49,united found flight airfarewatchdog,20/02/15 9:54,,,[],"['united', 'airfarewatchdog']"
2922,negative,theoli_co,united thats reply lol hoping least new plane maintained flight,20/02/15 9:53,"Newark, NJ",Central Time (US & Canada),[],['united']
2923,negative,abigailedge,united somebody say flight upgrade,20/02/15 9:53,"Brighton, UK",London,[],['united']
2924,neutral,LRuns4Cupcakes,united dm sent,20/02/15 9:52,NY,,[],['united']
2925,negative,SoyCoder,united tripitpro accurate delayed dept times 2hours late flightr hear curious,20/02/15 9:49,,Central Time (US & Canada),[],['united']
2926,negative,riad_otoum,united tell airline lost mine families business day age message twitter travels fast,20/02/15 9:44,"Louisville, KY",,[],['united']
2927,negative,ScribblersNook,united trying reach number last standbye gave 1 meal voucher potential 2 day standbye,20/02/15 9:43,"Atlanta, GA",Eastern Time (US & Canada),[],['united']
2928,negative,riad_otoum,united disappointing customer service,20/02/15 9:43,"Louisville, KY",,[],['united']
2929,negative,hplager,united boarded 6373 time deplaned 100 minutes delay transparency cant wait give gold status aa,20/02/15 9:42,Bay Area,Quito,[],['united']
2930,negative,44Stocker,united 44stocker wife sarah stocker also called could connect customer service,20/02/15 9:41,,,[],"['united', '44stocker']"
2931,negative,MR_G_LISTER,united victim scam shit customer service time agent hung wtf teach staff,20/02/15 9:41,"Benice Veach, CA",Eastern Time (US & Canada),[],['united']
2932,negative,44Stocker,united flight 1219 frustration boiled dealing attendant attitude ridiculous,20/02/15 9:36,,,[],['united']
2933,negative,BpfallonNYC,united nice know 3 hours time worth 799 free directtv everyone ever hear preventative maintenance,20/02/15 9:35,,,[],['united']
2934,negative,dlm_3,united may true however 4 weeks matter still unresolved get supervisor manager help,20/02/15 9:35,Global,Eastern Time (US & Canada),[],['united']
2935,negative,LRuns4Cupcakes,united obviously one knows darn thing around get resolved,20/02/15 9:33,NY,,[],['united']
2936,neutral,LifeofPL,united going forward shouldnt flight booking problems star alliance flights united app,20/02/15 9:33,,,[],['united']
2937,negative,LRuns4Cupcakes,united notifications yet staff board say accurate departure time,20/02/15 9:32,NY,,[],['united']
2938,negative,markbrownwriter,united im know seats actually narrower seats feel like maybe im extra bloated,20/02/15 9:30,"Studio City, CA",Tehran,[],['united']
2939,negative,LRuns4Cupcakes,united dm sent lack customer service getting ridiculous,20/02/15 9:25,NY,,[],['united']
2940,negative,alinosa,united delayed going home getting really tired delays,20/02/15 9:22,South Texas,Central Time (US & Canada),[],['united']
2941,positive,Sweet_Curly,united big thanks mn kn patiently clarifying united domestic world,20/02/15 9:20,,Berlin,[],['united']
2942,negative,LifeofPL,united uh booked ua website price change,20/02/15 9:15,,,[],['united']
2943,negative,Eileen429,united im rebooked getting home 4 hours late flightr planned chances ill ever see bag unhappytraveler,20/02/15 9:15,"Red Bank, NJ",Central Time (US & Canada),['unhappytraveler'],['united']
2944,negative,n_moffitt,united united club team got seat late flightr still sure last min ual cancelled flightlation costs yet overbooked folks get,20/02/15 9:13,Denver,,[],['united']
2945,negative,RickWasfy,united flight 5559 yyc providing free food allowed back board broken lightbulb,20/02/15 9:08,Calgary,,[],['united']
2946,negative,mariel_soraya,united looking fare returned companion flight dont understand additional 200 fee necessary,20/02/15 9:07,,Eastern Time (US & Canada),[],['united']
2947,positive,TaylorWoot,united thank much helps ton whoever twitter acct today deserves handshake hot chocolate flight problemsolvers,20/02/15 9:06,Easley SC,Eastern Time (US & Canada),['problemsolvers'],['united']
2948,neutral,rockstarbrands,united left headphones 2a ua4689 yhzewr long shot see worth tweet anyway,20/02/15 9:06,YHZ,Atlantic Time (Canada),[],['united']
2949,neutral,jcpowell1285,united 129 thousand fans jedediahbila asking give utmost effort get safe flight baggage soon,20/02/15 9:03,,,[],"['united', 'jedediahbila']"
2950,positive,alexster4324,united cant wait 787 tpallini,20/02/15 9:03,,,[],"['united', 'tpallini']"
2951,negative,AndyA3,united flight 5187 specific last two probably 30 feet apart within sight,20/02/15 9:02,San Francisco,Pacific Time (US & Canada),[],['united']
2952,positive,redirsrm,united love told would issue refund couldnt get us way hurricane denied,20/02/15 9:02,,Eastern Time (US & Canada),[],['united']
2953,negative,NorbertJaw,united without baggage 5 days cant get update houston airport since monday worst service ever,20/02/15 9:01,,,[],['united']
2954,negative,AndyA3,united yes three different checkers along walk plane overkill,20/02/15 8:59,San Francisco,Pacific Time (US & Canada),[],['united']
2955,negative,karenharbert,united bummer might go americanair card instead ty response though,20/02/15 8:54,"Columbia, MO",Eastern Time (US & Canada),[],"['united', 'americanair']"
2956,neutral,OliviaFett,united lruns4cupcakes please dm details wed like help need assistance kp clarkhoward another airlines issues,20/02/15 8:53,"Texas, duh! ",,"['another', 'airlines', 'issues']","['lruns4cupcakes', 'clarkhoward']"
2957,negative,riad_otoum,united im sure business go else airline travel name kathryn sotelo,20/02/15 8:53,"Louisville, KY",,[],['united']
2958,neutral,riad_otoum,united please arrange someone arriving gate flight 5957 chicago either refund first class upgrade,20/02/15 8:52,"Louisville, KY",,[],['united']
2959,negative,Frannyonthego,united made check carry flight 1449 pbi newark plane luggage stow full u r costing time money aggravation,20/02/15 8:52,NYC,,[],['united']
2960,negative,riad_otoum,united way contact flight work father pass heading denver,20/02/15 8:51,"Louisville, KY",,[],['united']
2961,negative,robthecameraman,united two flights today lets hope kit get treatment,20/02/15 8:51,Tetbury,London,[],['united']
2962,positive,Gouwerijn,united thnx,20/02/15 8:51,Alphen aan den Rijn,Amsterdam,[],['united']
2963,negative,LifeofPL,united please help regarding pnr a3zz0f waitlisted flight,20/02/15 8:47,,,[],['united']
2964,neutral,_mhertz,united emailed jim compton jeff smisek hopefully pay attention,20/02/15 8:44,,Pacific Time (US & Canada),[],['united']
2965,negative,_mhertz,united hope solution insurance cover issue,20/02/15 8:44,,Pacific Time (US & Canada),[],['united']
2966,negative,_mhertz,united customer service solution might miss show,20/02/15 8:44,,Pacific Time (US & Canada),[],['united']
2967,negative,_mhertz,united deserves go bankrupt delayed outbound flight info connecting flight going miss,20/02/15 8:43,,Pacific Time (US & Canada),[],['united']
2968,negative,JBrazie,united flt 3444 delayed maintenance thats fixed cant board flight crew didnt stay boarding area fail,20/02/15 8:42,,,['fail'],['united']
2969,negative,barry_croker,united anymore finally ticketed 5 min takeoff sure confusion fullfare gsa ticket,20/02/15 8:39,Manassas VA,,[],['united']
2970,neutral,karenharbert,united miles earned explorer card count toward lifetime miles,20/02/15 8:38,"Columbia, MO",Eastern Time (US & Canada),[],['united']
2971,negative,ParsnipButter,united yes still dont know ive told might flight one confirm,20/02/15 8:34,,,[],['united']
2972,neutral,lifeisabeech8,united something missing checked baggage,20/02/15 8:34,,Eastern Time (US & Canada),[],['united']
2973,negative,TaylorWoot,united wind chill ithica 17 degrees trouble losing clothes give tshirt ill burn warmth united,20/02/15 8:33,Easley SC,Eastern Time (US & Canada),['united'],['united']
2974,positive,rdahlstrom99,united aw thanks kind words totally makes extra 6 hours sitting airport soooo much better,20/02/15 8:32,"ÜT: 40.635407,-73.991869",,[],['united']
2975,neutral,kamaro67,united frontier currently offering weather exceptions weekend united,20/02/15 8:32,,Mountain Time (US & Canada),[],['united']
2976,negative,JedediahBila,united calling customer service 2 delayed flights today luggage misplaced disaster across board,20/02/15 8:31,"New York City, baby",Eastern Time (US & Canada),[],['united']
2977,negative,admiralkate,united crew notified passenger moved water fixed tarmac two hours,20/02/15 8:29,,Atlantic Time (Canada),[],['united']
2978,negative,dlm_3,united link helpful put touch management,20/02/15 8:29,Global,Eastern Time (US & Canada),[],['united']
2979,positive,ticopilot,united u might imagine former pilot particularly touched gesture please let fo know keepingtraditionsalive,20/02/15 8:29,"Washington, DC - USA",Eastern Time (US & Canada),['keepingtraditionsalive'],['united']
2980,negative,a_a_ron_cbus,united delayed cmh ord ran gate 1 min b4 connection door closed one around ignored 1st agent 2nd super rude thanksunited,20/02/15 8:26,,,['thanksunited'],['united']
2981,negative,ZachHonig,united upgrd guess kit kat looks tasty going near sandwich,20/02/15 8:24,"New York, New York",Eastern Time (US & Canada),[],"['united', 'upgrd']"
2982,negative,MattFrederick00,united worse headed laguardia delayed tray table size mouse pad overhead size pocket,20/02/15 8:22,,,[],['united:']
2983,negative,globalnearshore,united 1558 iah ewr broken entertainment system wifi despite info app,20/02/15 8:22,"Off: NYC, Home: Hoboken, NJ",Eastern Time (US & Canada),[],['united']
2984,negative,caitlingshaw,united customer service terrible,20/02/15 8:21,"Columbus, Ohio",Eastern Time (US & Canada),[],['united']
2985,neutral,jbone3353,united done,20/02/15 8:19,,Pacific Time (US & Canada),[],['united']
2986,negative,riad_otoum,united please send help asap kathrynsotelo flight 5957 chicago seat 9c airlines,20/02/15 8:15,"Louisville, KY",,['airlines'],"['united', 'kathrynsotelo']"
2987,negative,techartistsorg,united define appreciate doubt worst major airline usa acts much feedback,20/02/15 8:15,"Portland, OR",Central Time (US & Canada),[],['united']
2988,negative,katieclaytonn,united yea refund airline ruined trip,20/02/15 8:15,,Central Time (US & Canada),[],['united']
2989,positive,MrsHeyGil,united sent thank,20/02/15 8:15,"Obersulzbach, Germany",Quito,[],['united']
2990,negative,thejoemadison,united thats wonderful unfortunately doesnt help 4 hr flight major us cities disappointed,20/02/15 8:13,"Chicago, IL ",Central Time (US & Canada),['disappointed'],['united']
2991,negative,caitlingshaw,united thanks delaying flight hour missing connecting flight terrible customer service neveragain vacation,20/02/15 8:13,"Columbus, Ohio",Eastern Time (US & Canada),"['neveragain', 'vacation']",['united']
2992,negative,syncros,united got rebooked aa one question though automatically refund check baggage fees flight cancelled flightled,20/02/15 8:12,Toronto,Eastern Time (US & Canada),[],['united']
2993,negative,josephpwilson,united good 1k team nothing short amazing everything,20/02/15 8:12,"San Francisco, CA",,[],['united']
2994,negative,blastedgtl,united new flight window kind ticked pick aisle seats hate window seats annoyed epicfail,20/02/15 8:07,,Quito,"['annoyed', 'epicfail']",['united']
2995,positive,jonatzzValdez,united good fly united businessfirst,20/02/15 8:07,Mexico,Central Time (US & Canada),"['united', 'businessfirst']",['united']
2996,negative,josephpwilson,united nope rebook houston could get amarillo 11pm stuck sfo four hours,20/02/15 8:05,"San Francisco, CA",,[],[]
2997,positive,globalnearshore,united thanks made,20/02/15 8:05,"Off: NYC, Home: Hoboken, NJ",Eastern Time (US & Canada),[],['united']
2998,neutral,dlm_3,united past,20/02/15 8:03,Global,Eastern Time (US & Canada),[],['united']
2999,positive,BlainPlanes,united thanks dmed hn,20/02/15 8:03,Kalamazoo & Chicago,,[],['united']
3000,negative,Selcukatli,united money sucking airline terrible terrible customer service,20/02/15 8:03,San Francisco,Eastern Time (US & Canada),[],['united']
3001,negative,MattFrederick00,united aware airbus fleet sucks id rather fly c130 full rubber dog shit,20/02/15 8:03,,,[],['united']
3002,neutral,ThePappaShacks,united issuing exception policy denver weekend,20/02/15 8:03,Denver,,[],['united']
3003,neutral,jbone3353,united need breakdown international surcharge flights cover please help,20/02/15 8:02,,Pacific Time (US & Canada),[],['united']
3004,negative,MattRockman1,united fyi staff telling customers try carriers,20/02/15 7:59,,New Caledonia,[],['united']
3005,negative,katieclaytonn,united couldnt possibly messed trip anymore thanks terrible airline disappointed,20/02/15 7:59,,Central Time (US & Canada),['disappointed'],['united']
3006,negative,thejoemadison,united wifi ua688 sf chicago 2015 thats ps tech intro video joke epicfail,20/02/15 7:58,"Chicago, IL ",Central Time (US & Canada),"['ua688', 'sf', 'chicago?', 'epicfail']",['united']
3007,neutral,Easy_E_,united flight 1051 223 thx,20/02/15 7:57,Tri State NY area...,Eastern Time (US & Canada),['1051'],['united']
3008,neutral,tjny753,united based suggestions passengers rental car standby 1130 one way another leaving,20/02/15 7:57,"Elmira, NY",,[],['united']
3009,negative,JackieSken,united thanks reply box mine im missing one added bag,20/02/15 7:56,"Ottawa, ON",Eastern Time (US & Canada),[],['united']
3010,negative,bmbhawk,united wifi flight ua688 sf ord really wow,20/02/15 7:56,,,[],['united']
3011,neutral,ExterionMediaNI,united gives belfast hug new unmissable bushug format impact busads thinkbus belfastairport,20/02/15 7:56,Northern Ireland,London,"['hug', 'bushug', 'impact', 'busads', 'thinkbus']","['united', 'belfastairport']"
3012,negative,SLrnS,united worst,20/02/15 7:54,"New York, NY",,[],['united']
3013,negative,Azraellius,united haha clean plane held overnight hangar sounds lovely also dont lie screensand say weather,20/02/15 7:52,"Orlando, FL",Eastern Time (US & Canada),[],['united']
3014,negative,Azraellius,united charge delay united 1612 still waiting,20/02/15 7:42,"Orlando, FL",Eastern Time (US & Canada),[],['united']
3015,neutral,derwiki,united adam_karren zj76 save 200 checked snowboard trying check morning website wants 200 premgold,20/02/15 7:42,san francisco,,[],"['united', 'adam_karren', 'zj76']"
3016,neutral,MrsHeyGil,united traveling fra thru iad mco tomorrow concerned abt iad weather cant change advisory issued advice,20/02/15 7:40,"Obersulzbach, Germany",Quito,[],['united']
3017,negative,sbellfi4,united made feel guilty economy plus didnt pay extra leg room,20/02/15 7:40,"Ottawa, ON",Eastern Time (US & Canada),[],['united']
3018,negative,blastedgtl,united flight cancelled flightled new flight 5012 hopefully,20/02/15 7:35,,Quito,[],['united']
3019,negative,blastedgtl,united 4781 cancelled flightled 5102newflight upset one cancelled flights could rented car would honest,20/02/15 7:34,,Quito,"['4781', '5102newflight']",['united']
3020,positive,LuxuryFred,united enjoyed heathrow lounge much almost missed airnzusa flight,20/02/15 7:34,In First Class,Arizona,['heathrow'],"['united', 'airnzusa']"
3021,positive,Easy_E_,united hi flight 1051 try book new one way flight departure shows 355pm seems accurate,20/02/15 7:32,Tri State NY area...,Eastern Time (US & Canada),[],['united']
3022,negative,Azraellius,united stuck ord united cant find airplane lol upset terminal right,20/02/15 7:31,"Orlando, FL",Eastern Time (US & Canada),['upset'],['united']
3023,neutral,Sinatra1979,united contact requesting charity donation thankyou,20/02/15 7:26,Ohio (by way of Nebraska),Eastern Time (US & Canada),['thankyou'],['united']
3024,negative,tjny753,united wth honest customers better last change driving home plane left,20/02/15 7:24,"Elmira, NY",,[],['united']
3025,negative,Amybabic,united 2nd time row ive charged 100s plane ticket united shouldnt check cc everytime,20/02/15 7:23,"New York, Ny",,['united'],['united']
3026,neutral,dlm_3,united need customer service manager contact please,20/02/15 7:12,Global,Eastern Time (US & Canada),[],['united']
3027,negative,tjny753,united flight 5001 really going leave newark today tell us rent car want end stranded,20/02/15 7:09,"Elmira, NY",,[],['united']
3028,negative,JeremyHuts,united thanks reply saw particularly helpful hungry vegetarian flying specific flights shrug,20/02/15 7:07,"Boston, MA",Central Time (US & Canada),[],[]
3029,negative,dnr_pr,united funny boarding pass said priority clearly priority airline,20/02/15 7:03,NYC,Eastern Time (US & Canada),[],['united']
3030,negative,dnr_pr,united im sure offer nothing inconvenience put twice month tweets dont cut,20/02/15 7:03,NYC,Eastern Time (US & Canada),[],['united']
3031,negative,Eileen429,united youll cancelled flight flight like,20/02/15 7:00,"Red Bank, NJ",Central Time (US & Canada),[],['united']
3032,negative,dnr_pr,united screwing twice one month learned lesson,20/02/15 6:59,NYC,Eastern Time (US & Canada),[],['united']
3033,negative,dnr_pr,united whats point offering free checked bag lose,20/02/15 6:58,NYC,Eastern Time (US & Canada),[],['united']
3034,neutral,bakedstove,united cheers,20/02/15 6:58,"Boston, Massachusetts",Eastern Time (US & Canada),[],['united']
3035,positive,georgev27,united please send linkemail formally compliment irene slc best customer service ever paxex,20/02/15 6:58,"Lehigh Valley, PA",,['paxex'],['united']
3036,positive,Gouwerijn,united thnx lo,20/02/15 6:56,Alphen aan den Rijn,Amsterdam,[],['united']
3037,neutral,lskingdavis,united yes houston intl bush,20/02/15 6:55,,,[],['united']
3038,neutral,Easy_E_,united hi 223 flight cunewr shows departure 255pm united app confirm doesnt look correct thanks,20/02/15 6:48,Tri State NY area...,Eastern Time (US & Canada),[],['united']
3039,negative,tennesseejc,united flight vegas houston cancelled flighted morning due operation mean thank god woke early today,20/02/15 6:43,"las vegas/nashville, TN",Central Time (US & Canada),[],['united']
3040,neutral,KristinMcNeil,united thanks,20/02/15 6:41,"Minnesota, USA",Central Time (US & Canada),[],['united']
3041,negative,CristineKao,united education staff needed also turned away first class cabin passengers mileage plus,20/02/15 6:36,"Chicago, IL",,[],['united']
3042,negative,JackieSken,united item mine mysteriously ended checked bag ewr yow flight missing black box,20/02/15 6:31,"Ottawa, ON",Eastern Time (US & Canada),"['ewr', 'yow']",['united']
3043,negative,blastedgtl,united guessflight going cancelled flightled 16 empty seats confirmed important frustrated,20/02/15 6:30,,Quito,['frustrated'],['united']
3044,negative,cleskowitz,united instead making seats smallerthinner u jam people flightu concentrate maint happy customers,20/02/15 6:27,Phila. PA,Eastern Time (US & Canada),[],['united']
3045,negative,jefftang1975,united need assistance pulling agents heads asses,20/02/15 6:23,,Pacific Time (US & Canada),[],['united']
3046,negative,RobTrongone,united gates definitely full parked wheels chocked customer service called unmet arrival,20/02/15 6:12,New Jersey,,[],['united']
3047,negative,UnitedAppeals,united abigailedge another glitch,20/02/15 6:09,"London, UK",,[],"['united', 'abigailedge']"
3048,positive,lskingdavis,united spite flight delay great customer service provided janet baggage employee karen 2 wonderful employees united,20/02/15 6:06,,,[],['united']
3049,negative,blastedgtl,united really hard time believing 4 planes terminal delayed mechanical issues whatgives dullessucks,20/02/15 5:56,,Quito,"['whatgives', 'dullessucks']",['united']
3050,neutral,AlMehairiAUH,united start 3xdaily embraersa erj145 flights chicago fly2ohare evansville 4jun avgeek,20/02/15 5:55,Abu Dhabi,Abu Dhabi,"['erj145', 'chicago', 'evansville', 'avgeek']","['united', 'embraersa', 'fly2ohare']"
3051,negative,globalnearshore,united flight 4465 almost half hour tarmac waiting papers miss connection iah,20/02/15 5:53,"Off: NYC, Home: Hoboken, NJ",Eastern Time (US & Canada),[],['united']
3052,negative,jefftang1975,united worst airline ever thanks slew rude agents staff making delayed flights even worse,20/02/15 5:50,,Pacific Time (US & Canada),[],['united']
3053,negative,jbeddigs,united chance hell id rather walk worst airline ever,20/02/15 5:47,"Chicago, IL",,[],['united']
3054,negative,mforrest28,united worst major us airline proof theyre boarding plane outside galley door open 0 degree weather wtf,20/02/15 5:42,NYC.  Sports.,Atlantic Time (Canada),[],['united']
3055,neutral,Gouwerijn,united checked boardingpass wno checkin bagage guess im set,20/02/15 5:40,Alphen aan den Rijn,Amsterdam,[],['united']
3056,positive,cynthianatalie,united always makes cross country flights rad hemispheresmag heres baby flier charlotte 8thtime5monthsold,20/02/15 5:17,Los Angeles/Charlotte,Quito,['8thtime5monthsold'],"['united', 'hemispheresmag']"
3057,negative,iampaz,united late flight damage done easily worst airline experience life missed two connecting flights days work ua49,20/02/15 5:13,FUCK CANCER,Central Time (US & Canada),['ua49'],['united']
3058,negative,CeC,united dont know aware premier access lines closed terminal feel love,20/02/15 5:13,Naperville,Paris,[],['united']
3059,positive,desiree_d_h,united firstclass london way londonfashionweek lfw15,20/02/15 5:07,houston paris nyc ,Central Time (US & Canada),"['firstclass', 'london', 'londonfashionweek', 'lfw15']",['united']
3060,negative,scottfosteresq,united disappointed learn charging 200 use 20k miles upgrades ps jfk flights looking alternatives,20/02/15 5:03,New York,,[],['united']
3061,neutral,G4gey,united kidding ill send stuff thanks,20/02/15 5:00,"Charlottesville, VA",London,[],['united']
3062,negative,JuniorOgieBLC,united faanews unacceptable practice leave cancelled flighted flight passengers sleep cement pillows ua1724,20/02/15 4:56,Seattle,,['ua1724'],"['united', 'faanews']"
3063,negative,meredithstille,united u get crew member waiting told 40 minutes ago landed still gate,20/02/15 4:55,New Jersey,Eastern Time (US & Canada),[],['united']
3064,negative,nancy_g3,united flight 6212massive fail delaying transport crew member causing many miss connections unreal,20/02/15 4:54,"New York, NY",Eastern Time (US & Canada),[],['united']
3065,negative,Gadgetakis,united worst customer experience houston intl airport ground support even staralliance members nightmare,20/02/15 4:43,"38.04591,23.769275",Athens,[],"['united', 'staralliance']"
3066,neutral,c_hughes_88,united tremendous would recommend,20/02/15 4:40,"Orlando, FL",Eastern Time (US & Canada),[],['united']
3067,negative,G4gey,united help delayed flight im going miss connection,20/02/15 4:37,"Charlottesville, VA",London,[],['united']
3068,negative,meredithstille,united im counting please dont let delayed needtocatchmynextflight alreadyrebookedonce,20/02/15 4:22,New Jersey,Eastern Time (US & Canada),"['delayed', 'again', 'needtocatchmynextflight', 'alreadyrebookedonce']",['united']
3069,negative,ParsnipButter,united impossible actually get passenger luggage final destination,20/02/15 3:53,,,[],['united']
3070,positive,ticopilot,united huge kudos fo sundays flt 1623 sjoiad handed daughter first pair wings keeping traditions alive,20/02/15 3:45,"Washington, DC - USA",Eastern Time (US & Canada),['1623'],['united']
3071,positive,jakepoznak,united awesome new plane flight 1701,20/02/15 3:38,,Eastern Time (US & Canada),[],['united']
3072,negative,tjhazzard,united flightdelay early craft arrival pilot stuck traffic fail nocustomerservice nocompensation,20/02/15 3:36,"santa barbara, CA",Pacific Time (US & Canada),"['flightdelay', 'fail', 'nocustomerservice', 'nocompensation']",['united']
3073,negative,fatihguvenen,united oh united much despise thee,20/02/15 3:20,minneapolis,Central Time (US & Canada),[],['united']
3074,neutral,meredithstille,united lets see today hoping ontime dept dullestostatecollege runningonthreehoursofsleep delayedovernight,20/02/15 3:19,New Jersey,Eastern Time (US & Canada),"['dullestostatecollege', 'runningonthreehoursofsleep', 'delayedovernight']",['united']
3075,positive,garycirlin,united flt 912 capt herman amazing came flight play ask captain anything wonderful ambassador airline,20/02/15 3:17,NY,,[],['united']
3076,negative,Corey5Alexander,united airline biggest joke operation world,20/02/15 2:59,New York,Eastern Time (US & Canada),[],['united']
3077,negative,dstamberg,united going baggage claim newarktiredandwanttogohome,20/02/15 2:54,,,[],['united']
3078,negative,CristineKao,united usually lounge staff fantastic except today mco almost denied entry lounge even though traveling unitedfirst,20/02/15 2:47,"Chicago, IL",,[],['united']
3079,negative,DT_Les,united 25 hour delay misplaced bag poor communication worse unsympathetic confrontational gate agent cool,20/02/15 2:42,,,[],['united']
